series,evidence_class,fraction_1,normalized_F,cloud_point_f,source_note
Rounded General Cubic,project model — preferred general petroleum model,0.0,0.0,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.01,0.005921,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.02,0.01169,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.03,0.017312,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.04,0.022797,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.05,0.02815,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.06,0.033379,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.07,0.038492,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.08,0.043494,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.09,0.048395,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.1,0.0532,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.11,0.057917,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.12,0.062554,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.13,0.067116,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.14,0.071613,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.15,0.07605,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.16,0.080435,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.17,0.084776,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.18,0.089078,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.19,0.093351,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.2,0.0976,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.21,0.101833,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.22,0.106058,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.23,0.11028,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.24,0.114509,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.25,0.11875,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.26,0.123011,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.27,0.1273,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.28,0.131622,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.29,0.135987,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.3,0.1404,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.31,0.144869,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.32,0.149402,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.33,0.154004,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.34,0.158685,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.35,0.16345,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.36,0.168307,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.37,0.173264,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.38,0.178326,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.39,0.183503,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.4,0.1888,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.41,0.194225,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.42,0.199786,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.43,0.205488,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.44,0.211341,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.45,0.21735,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.46,0.223523,,Rounded form of the direct Minnesota/Iowa measured-point fit
Rounded General Cubic,project model — preferred general petroleum model,0.47,0.229868,,Rounded form of the direct Minnesota/Iowa measured-point fit
