#1 %,Iowa graph curve CP (°F),Iowa graph points CP (°F),Rounded original CP (°F),Original exact CP (°F),Source-balanced cubic CP (°F),Hybrid-like global cubic CP (°F),New test cubic CP (°F),Hybrid piecewise CP (°F),Cenex 3°F/10% rule CP (°F),Cenex Literature Cubic CP (°F),Cenex Southern guideline (approx.) CP (°F),Cenex Literature Cubic error vs Cenex Southern guideline (°F),Iowa graph curve error vs Cenex Southern guideline (°F),Iowa graph points error vs Cenex Southern guideline (°F),Rounded original error vs Cenex Southern guideline (°F),Original exact error vs Cenex Southern guideline (°F),Source-balanced cubic error vs Cenex Southern guideline (°F),Hybrid-like global cubic error vs Cenex Southern guideline (°F),New test cubic error vs Cenex Southern guideline (°F),Hybrid piecewise error vs Cenex Southern guideline (°F),Cenex 3°F/10% rule error vs Cenex Southern guideline (°F)
0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14,14.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,11.61,11.082,10.861,10.889,10.823,10.437,9.789,10.889,11,11.232,11,0.232,0.61,0.082,-0.139,-0.111,-0.177,-0.563,-1.211,-0.111,0
20,9.499,8.762,8.242,8.259,8.09,7.475,6.601,8.259,8,8.696,8,0.696,1.499,0.762,0.242,0.259,0.09,-0.525,-1.399,0.259,0
30,7.268,6.567,5.716,5.697,5.407,4.696,3.911,3.911,5,6.044,3,3.044,4.268,3.567,2.716,2.697,2.407,1.696,0.911,0.911,2
40,4.522,4.025,2.861,2.79,2.381,1.677,1.195,1.195,2,2.928,2,0.928,2.522,2.025,0.861,0.79,0.381,-0.323,-0.805,-0.805,0
50,0.864,0.662,-0.75,-0.874,-1.381,-2.002,-2.071,-2.071,-1,-1.0,-2,1.0,2.864,2.662,1.25,1.126,0.619,-0.002,-0.071,-0.071,1
60,-4.104,-3.993,-5.541,-5.709,-6.272,-6.76,-6.411,-6.411,-4,-6.088,-8,1.912,3.896,4.007,2.459,2.291,1.728,1.24,1.589,1.589,4
70,-10.778,-10.415,-11.936,-12.126,-12.686,-13.019,-12.35,-12.35,-7,-12.684,-14,1.316,3.222,3.585,2.064,1.874,1.314,0.981,1.65,1.65,7
80,-19.555,-19.075,-20.362,-20.538,-21.017,-21.198,-20.411,-20.411,-10,-21.136,-20,-1.136,0.445,0.925,-0.362,-0.538,-1.017,-1.198,-0.411,-0.411,10
90,-30.832,-30.445,-31.241,-31.359,-31.657,-31.718,-31.12,-31.12,-13,-31.792,-36,4.208,5.168,5.555,4.759,4.641,4.343,4.282,4.88,4.88,23
100,-45.006,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-16,-45.0,-40,-5.0,-5.006,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,24
