#1 %,Iowa PDF constrained fitted-line CP (°F),Iowa PDF constrained plotted-points CP (°F),Rounded General CP (°F),Original Exact CP (°F),Source-Balanced Cubic CP (°F),Systematic Robust Cubic CP (°F),Hybrid-Like Global Cubic CP (°F),Cenex Southern Test Cubic CP (°F),Hybrid Piecewise CP (°F),Cenex 3°F/10% Rule CP (°F),Cenex Literature Cubic CP (°F),Cenex Southern guideline (approx.) CP (°F),Iowa PDF constrained fitted-line error vs Cenex Southern guideline (°F),Iowa PDF constrained plotted-points error vs Cenex Southern guideline (°F),Rounded General error vs Cenex Southern guideline (°F),Original Exact error vs Cenex Southern guideline (°F),Source-Balanced Cubic error vs Cenex Southern guideline (°F),Systematic Robust Cubic error vs Cenex Southern guideline (°F),Hybrid-Like Global Cubic error vs Cenex Southern guideline (°F),Cenex Southern Test Cubic error vs Cenex Southern guideline (°F),Hybrid Piecewise error vs Cenex Southern guideline (°F),Cenex 3°F/10% Rule error vs Cenex Southern guideline (°F),Cenex Literature Cubic error vs Cenex Southern guideline (°F)
0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11.217,10.955,10.595,10.625,10.554,10.625,10.135,9.432,10.625,11.0,11.272,11.0,0.217,-0.045,-0.405,-0.375,-0.446,-0.375,-0.865,-1.568,-0.375,0.0,0.272
20,8.78,8.387,7.754,7.772,7.589,7.695,6.923,5.974,7.772,8.0,8.816,8.0,0.78,0.387,-0.246,-0.228,-0.411,-0.305,-1.077,-2.026,-0.228,0.0,0.816
30,6.257,5.838,5.014,4.993,4.679,4.792,3.907,3.056,3.056,5.0,6.224,3.0,3.257,2.838,2.014,1.993,1.679,1.792,0.907,0.056,0.056,2.0,3.224
40,3.218,2.849,1.917,1.84,1.397,1.496,0.632,0.11,0.11,2.0,3.088,2.0,1.218,0.849,-0.083,-0.16,-0.603,-0.504,-1.368,-1.89,-1.89,0.0,1.088
50,-0.768,-1.038,-2.0,-2.135,-2.684,-2.613,-3.358,-3.433,-3.433,-1.0,-1.0,-2.0,1.232,0.962,0.0,-0.135,-0.684,-0.613,-1.358,-1.433,-1.433,1.0,1.0
60,-6.133,-6.282,-7.197,-7.379,-7.99,-7.952,-8.519,-8.141,-8.141,-4.0,-6.448,-8.0,1.867,1.718,0.803,0.621,0.01,0.048,-0.519,-0.141,-0.141,4.0,1.552
70,-13.308,-13.342,-14.134,-14.34,-14.948,-14.941,-15.308,-14.583,-14.583,-7.0,-13.664,-14.0,0.692,0.658,-0.134,-0.34,-0.948,-0.941,-1.308,-0.583,-0.583,7.0,0.336
80,-22.723,-22.676,-23.274,-23.465,-23.984,-23.999,-24.181,-23.328,-23.328,-10.0,-23.056,-20.0,-2.723,-2.676,-3.274,-3.465,-3.984,-3.999,-4.181,-3.328,-3.328,10.0,-3.056
90,-34.81,-34.742,-35.075,-35.202,-35.526,-35.546,-35.593,-34.944,-34.944,-13.0,-35.032,-36.0,1.19,1.258,0.925,0.798,0.474,0.454,0.407,1.056,1.056,23.0,0.968
100,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-16.0,-50.0,-40.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,24.0,-10.0
