#1 %,Iowa PDF fitted line CP (°F),Rounded General CP using Iowa endpoints (°F),Rounded minus Iowa PDF line (°F),Iowa PDF endpoint-constrained cubic CP (°F),Rounded minus endpoint-constrained Iowa cubic (°F)
0,4.579,3.2,-1.379,3.2,0.0
5,3.217,1.604,-1.613,1.905,-0.301
10,1.787,0.184,-1.603,0.735,-0.551
15,0.357,-1.112,-1.469,-0.359,-0.753
20,-1.073,-2.334,-1.261,-1.425,-0.909
25,-2.508,-3.533,-1.025,-2.509,-1.024
30,-3.964,-4.761,-0.796,-3.66,-1.101
35,-5.419,-6.068,-0.649,-4.925,-1.143
40,-6.963,-7.505,-0.542,-6.352,-1.153
45,-8.589,-9.124,-0.534,-7.989,-1.135
50,-10.373,-10.975,-0.602,-9.884,-1.091
55,-12.371,-13.11,-0.739,-12.084,-1.026
60,-14.661,-15.579,-0.918,-14.637,-0.942
65,-17.332,-18.434,-1.102,-17.591,-0.843
70,-20.475,-21.725,-1.25,-20.993,-0.732
75,-24.224,-25.504,-1.28,-24.892,-0.613
80,-28.674,-29.822,-1.148,-29.335,-0.488
85,-33.963,-34.729,-0.767,-34.369,-0.361
90,-40.256,-40.278,-0.022,-40.043,-0.235
95,-47.717,-46.517,1.2,-46.404,-0.113
100,-56.473,-53.5,2.973,-53.5,0.0
