pdf_x_pt,pdf_y_pt,fraction_1,cloud_point_f,normalized_F_using_measured_endpoints
106.109428,411.40744,-3.7e-07,4.578826,-0.02431793
107.159386,411.707367,0.00315279,4.479755,-0.02257064
108.28434,411.932312,0.00653117,4.405452,-0.02126017
109.409294,412.232239,0.00990954,4.306381,-0.01951289
110.534264,412.532166,0.01328797,4.207309,-0.0177656
111.659218,412.757111,0.01666635,4.133006,-0.01645513
112.784172,413.057037,0.02004473,4.033935,-0.01470785
113.834122,413.356964,0.02319786,3.934864,-0.01296056
114.959091,413.581909,0.02657628,3.86056,-0.01165009
116.084045,413.881836,0.02995466,3.761489,-0.00990281
117.209,414.181763,0.03333304,3.662418,-0.00815552
118.333954,414.481689,0.03671142,3.563347,-0.00640823
119.458923,414.706635,0.04008984,3.489043,-0.00509777
120.583878,415.006561,0.04346822,3.389972,-0.00335048
121.633835,415.306488,0.04662138,3.290901,-0.00160319
122.758789,415.531433,0.04999976,3.216598,-0.00029273
123.883759,415.83136,0.05337818,3.117526,0.00145456
125.008713,416.131287,0.05675656,3.018455,0.00320185
126.133659,416.431213,0.06013492,2.919384,0.00494914
127.258614,416.73114,0.06351329,2.820313,0.00669642
128.383575,416.956085,0.0668917,2.746009,0.00800689
129.433548,417.256012,0.0700449,2.646938,0.00975418
130.558502,417.555939,0.07342327,2.547867,0.01150146
131.683456,417.855865,0.07680165,2.448796,0.01324875
132.808411,418.155792,0.08018003,2.349725,0.01499604
133.933365,418.380737,0.08355841,2.275421,0.0163065
135.058319,418.680664,0.08693679,2.17635,0.01805379
136.183273,418.980591,0.09031517,2.077279,0.01980108
137.233246,419.280518,0.09346837,1.978208,0.02154837
138.3582,419.580444,0.09684675,1.879136,0.02329565
139.483154,419.880371,0.10022513,1.780065,0.02504294
140.608109,420.180298,0.10360351,1.680994,0.02679023
141.733078,420.405243,0.10698193,1.606691,0.02810069
142.858032,420.70517,0.11036031,1.507619,0.02984798
143.90799,421.005096,0.11351346,1.408548,0.03159527
145.032944,421.305023,0.11689184,1.309477,0.03334256
146.157913,421.60495,0.12027027,1.210406,0.03508984
147.282867,421.904877,0.12364865,1.111335,0.03683713
148.407822,422.204803,0.12702702,1.012263,0.03858442
149.532776,422.429749,0.1304054,0.93796,0.03989488
150.657745,422.729675,0.13378383,0.838889,0.04164217
151.707703,423.029602,0.13693698,0.739818,0.04338946
152.832657,423.329529,0.14031536,0.640747,0.04513675
153.957611,423.629456,0.14369374,0.541675,0.04688403
155.082581,423.929382,0.14707216,0.442604,0.04863132
156.207535,424.229309,0.15045054,0.343533,0.05037861
157.332489,424.529236,0.15382892,0.244462,0.0521259
158.457428,424.754181,0.15720726,0.170158,0.05343636
159.507401,425.054108,0.16036045,0.071087,0.05518365
160.632355,425.354034,0.16373883,-0.027984,0.05693094
161.757309,425.653961,0.16711721,-0.127055,0.05867822
162.882263,425.953888,0.17049559,-0.226126,0.06042551
164.007233,426.253815,0.17387402,-0.325198,0.0621728
165.132187,426.553741,0.1772524,-0.424269,0.06392008
166.257141,426.853668,0.18063077,-0.52334,0.06566737
167.307098,427.078613,0.18378393,-0.597643,0.06697784
168.432068,427.37854,0.18716235,-0.696715,0.06872513
169.557022,427.678467,0.19054073,-0.795786,0.07047241
170.681976,427.978394,0.19391911,-0.894857,0.0722197
171.806931,428.27832,0.19729749,-0.993928,0.07396699
172.9319,428.578247,0.20067591,-1.092999,0.07571427
173.981857,428.878174,0.20382907,-1.192071,0.07746156
175.106812,429.178101,0.20720745,-1.291142,0.07920885
176.231766,429.478027,0.21058583,-1.390213,0.08095614
177.356735,429.702972,0.21396425,-1.464516,0.0822666
178.481689,430.002899,0.21734263,-1.563588,0.08401389
179.606644,430.302826,0.22072101,-1.662659,0.08576118
180.731598,430.602753,0.22409939,-1.76173,0.08750846
181.78157,430.902679,0.22725259,-1.860801,0.08925575
182.906525,431.202606,0.23063097,-1.959872,0.09100304
184.031464,431.502533,0.2340093,-2.058944,0.09275033
185.156418,431.80246,0.23738768,-2.158015,0.09449761
186.281387,432.102386,0.2407661,-2.257086,0.0962449
187.406342,432.327332,0.24414448,-2.331389,0.09755537
188.531296,432.627258,0.24752286,-2.43046,0.09930265
189.581253,432.927185,0.25067601,-2.529532,0.10104994
190.706223,433.227112,0.25405444,-2.628603,0.10279723
191.831177,433.527039,0.25743282,-2.727674,0.10454452
192.956131,433.826965,0.2608112,-2.826745,0.1062918
194.081085,434.126892,0.26418958,-2.925816,0.10803909
195.206055,434.426819,0.267568,-3.024888,0.10978638
196.331009,434.726746,0.27094638,-3.123959,0.11153367
197.380966,434.951691,0.27409953,-3.198262,0.11284413
198.50592,435.251617,0.27747791,-3.297333,0.11459142
199.63089,435.551544,0.28085634,-3.396405,0.11633871
200.755844,435.851471,0.28423472,-3.495476,0.11808599
201.880798,436.151398,0.28761309,-3.594547,0.11983328
203.005753,436.451324,0.29099147,-3.693618,0.12158057
204.055725,436.751251,0.29414467,-3.792689,0.12332786
205.180679,437.051178,0.29752305,-3.891761,0.12507514
206.305634,437.351105,0.30090143,-3.990832,0.12682243
207.430588,437.651031,0.30427981,-4.089903,0.12856972
208.555557,437.950958,0.30765823,-4.188974,0.130317
209.680496,438.250885,0.31103657,-4.288045,0.13206429
210.80545,438.550812,0.31441495,-4.387117,0.13381158
211.855408,438.775757,0.3175681,-4.46142,0.13512204
212.980377,439.075684,0.32094652,-4.560491,0.13686933
214.105331,439.37561,0.3243249,-4.659562,0.13861662
215.230286,439.675537,0.32770328,-4.758634,0.14036391
216.35524,439.975464,0.33108166,-4.857705,0.14211119
217.480209,440.275391,0.33446009,-4.956776,0.14385848
218.605164,440.575317,0.33783846,-5.055847,0.14560577
219.655121,440.875244,0.34099162,-5.154918,0.14735306
220.780075,441.175171,0.34437,-5.253989,0.14910034
221.905045,441.475098,0.34774842,-5.353061,0.15084763
223.029999,441.775024,0.3511268,-5.452132,0.15259492
224.154953,442.149933,0.35450518,-5.575971,0.15477903
225.279907,442.44986,0.35788356,-5.675042,0.15652632
226.404877,442.749786,0.36126198,-5.774113,0.1582736
227.454834,443.049713,0.36441514,-5.873184,0.16002089
228.579788,443.34964,0.36779352,-5.972256,0.16176818
229.704742,443.649567,0.3711719,-6.071327,0.16351546
230.829712,443.949493,0.37455032,-6.170398,0.16526275
231.954666,444.24942,0.3779287,-6.269469,0.16701004
233.07962,444.549347,0.38130708,-6.36854,0.16875733
234.129578,444.849274,0.38446023,-6.467612,0.17050461
235.254532,445.224182,0.38783861,-6.591451,0.17268872
236.379486,445.524109,0.39121699,-6.690522,0.17443601
237.50444,445.824036,0.39459537,-6.789593,0.1761833
238.629395,446.123962,0.39797375,-6.888664,0.17793059
239.754364,446.498871,0.40135217,-7.012503,0.18011469
240.879318,446.798798,0.40473055,-7.111574,0.18186198
241.929276,447.098724,0.4078837,-7.210646,0.18360927
243.05423,447.398651,0.41126208,-7.309717,0.18535656
244.179199,447.77356,0.41464051,-7.433556,0.18754067
245.304153,448.073486,0.41801889,-7.532627,0.18928795
246.429108,448.373413,0.42139727,-7.631698,0.19103524
247.554062,448.748322,0.42477564,-7.755537,0.19321935
248.679031,449.048248,0.42815407,-7.854608,0.19496664
249.728989,449.423157,0.43130722,-7.978447,0.19715075
250.853943,449.723083,0.4346856,-8.077519,0.19889803
251.978897,450.097992,0.43806398,-8.201358,0.20108214
253.103867,450.397919,0.44144241,-8.300429,0.20282943
