pdf_drawing_index,pdf_x_pt,pdf_y_pt,fraction_1,cloud_point_f,normalized_F_using_measured_endpoints
486,106.10942840576172,415.6064147949219,-3.7e-07,3.19183,0.00014409
487,122.75874328613281,413.8068542480469,0.04999962,3.786257,-0.01033963
488,139.40805053710938,418.3057556152344,0.09999958,2.300189,0.01586968
489,156.057373046875,417.4059753417969,0.14999959,2.597403,0.01062781
490,172.70668029785156,434.6517639160156,0.19999955,-3.099191,0.11109684
492,189.3560028076172,437.42608642578125,0.24999956,-4.0156,0.12725926
493,206.0053253173828,437.42608642578125,0.29999957,-4.0156,0.12725926
494,222.65463256835938,442.82476806640625,0.34999953,-5.798881,0.15871042
495,239.30393981933594,439.22564697265625,0.39999949,-4.610027,0.13774298
497,255.95327758789062,451.8975524902344,0.44999955,-8.795785,0.21156587
498,272.60260009765625,459.1707763671875,0.49999955,-11.198261,0.25393758
499,285.9520568847656,464.6444396972656,0.54008965,-13.00631,0.28582557
500,289.2519226074219,462.8448791503906,0.54999956,-12.411883,0.27534185
501,292.5517883300781,470.11810302734375,0.55990947,-14.81436,0.31771358
502,299.22650146484375,470.11810302734375,0.57995448,-14.81436,0.31771358
503,305.9012145996094,473.71722412109375,0.59999948,-16.003214,0.33868102
504,312.5759582519531,475.51678466796875,0.62004457,-16.597641,0.34916474
506,319.2507019042969,480.9904479980469,0.64008967,-18.40569,0.38105273
507,322.5505676269531,473.71722412109375,0.64999958,-16.003214,0.33868102
508,339.19989013671875,480.9904479980469,0.69999959,-18.40569,0.38105273
509,355.84918212890625,488.263671875,0.7499995,-20.808167,0.42342446
510,365.82379150390625,508.20880126953125,0.77995451,-27.396401,0.53961907
511,372.4985046386719,513.6824951171875,0.79999951,-29.204461,0.57150725
512,379.1732177734375,519.1561279296875,0.82004451,-31.0125,0.60339506
513,389.1478271484375,526.4293212890625,0.84999952,-33.414966,0.6457666
514,392.5226745605469,524.6297607421875,0.86013461,-32.820539,0.63528287
515,395.8225402832031,540.975830078125,0.87004452,-38.219939,0.73051039
516,399.1224060058594,540.975830078125,0.87995443,-38.219939,0.73051039
517,402.49725341796875,540.975830078125,0.89008952,-38.219939,0.73051039
519,405.7971496582031,557.3218383789062,0.89999953,-43.619319,0.82573755
520,409.1720275878906,551.84814453125,0.91013471,-41.81126,0.79384938
521,412.4718933105469,546.37451171875,0.92004462,-40.003221,0.76196157
522,422.44647216796875,573.6678466796875,0.94999953,-49.018699,0.92096471
523,439.0957946777344,587.239501953125,0.99999954,-53.501661,1.00002929
