Model,MAE 10–80 (°F),RMSE 10–80 (°F),Max abs error 10–80 (°F)
Rounded General,0.87,1.4,3.274
Original Exact,0.915,1.446,3.465
Hybrid Piecewise,1.004,1.469,3.328
Iowa PDF constrained plotted-points,1.267,1.597,2.838
Source-Balanced Cubic,1.096,1.612,3.984
Systematic Robust Cubic,1.072,1.618,3.999
Cenex Southern Test Cubic,1.378,1.719,3.328
Cenex Literature Cubic,1.418,1.774,3.224
Iowa PDF constrained fitted-line,1.498,1.79,3.257
Hybrid-Like Global Cubic,1.448,1.8,4.181
Cenex 3°F/10% Rule,3.0,4.61,10.0
